,Kateqoriya,Sah?,Ç?xar??,T?mir,Otaq Say?,Rayon,Q?s?b?,Elan ID,Qiym?t,Elan Sahibi,?poteka,Elan Linki,Enine Koordinat,Uzununa Koordinat,Evin M?rt?b?si,Ümumi M?rt?b? Say?
119,Yeni tikili,35,var,var,1,Heyd?r ?liyev ad?na ?dman Kompleksi,?zmir park?,5308598,118000,vasit?çi (agent),Yoxdur,https://bina.az/items/5308598,40.38988261,49.8232202,3,5
120,Yeni tikili,103,var,var,3,Sabunçu r.,Bak?xanov q.,5350972,150000,vasit?çi (agent),var,https://bina.az/items/5350972,40.4369527,49.9583745,4,19
121,Köhn? tikili,70,var,var,3,Neapol dair?si,?hm?dli m.,5280242,148000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5280242,40.38196687,49.96490702,1,9
122,Köhn? tikili,60,var,var,3,Neftçi bazas?,N?rimanov r.,5271231,148000,vasit?çi (agent),Yoxdur,https://bina.az/items/5271231,40.40467698,49.83669037,3,5
123,Yeni tikili,72,var,var,2,Neapol dair?si,?hm?dli m.,5375962,145000,vasit?çi (agent),Yoxdur,https://bina.az/items/5375962,40.38656024,49.96542698,15,20
124,Yeni tikili,62,var,var,2,Yasamal r.,Yeni Yasamal q.,5341018,145000,vasit?çi (agent),Yoxdur,https://bina.az/items/5341018,40.39842431,49.79136539,9,16
125,Köhn? tikili,65,var,var,2,['X?tai r.'],Yoxdur,5375950,136000,vasit?çi (agent),var,https://bina.az/items/5375950,40.37421689,49.96544038,6,9
126,Yeni tikili,55,var,var,2,Neftçil?r m.,Nizami r.,5358849,130000,vasit?çi (agent),Yoxdur,https://bina.az/items/5358849,40.41110956,49.95067575,10,11
127,Yeni tikili,69,yoxdur,yoxdur,2,Qara Qarayev m.,Neftçil?r m.,5334382,147000,vasit?çi (agent),Yoxdur,https://bina.az/items/5334382,40.41528719,49.93665902,12,14
128,Yeni tikili,53,var,var,2,H?zi Aslanov m.,X?tai r.,5231439,150000,vasit?çi (agent),Yoxdur,https://bina.az/items/5231439,40.3709231,49.95597733,7,16
129,Köhn? tikili,60,var,var,2,['X?tai r.'],Yoxdur,5375944,143000,vasit?çi (agent),Yoxdur,https://bina.az/items/5375944,40.36497203,49.94791017,3,9
130,Yeni tikili,55,var,var,2,Xalqlar Dostlu?u m.,Nizami r.,5364523,142000,vasit?çi (agent),var,https://bina.az/items/5364523,40.40412052,49.95608428,2,18
131,Yeni tikili,60,yoxdur,var,2,['X?tai r.'],Yoxdur,4816854,143000,vasit?çi (agent),Yoxdur,https://bina.az/items/4816854,40.378181,49.931383,12,13
132,Yeni tikili,60,var,var,2,X?tai r.,?hm?dli q.,5375930,147000,vasit?çi (agent),Yoxdur,https://bina.az/items/5375930,40.39286876,49.96358162,7,16
133,Yeni tikili,60,yoxdur,var,2,Yasamal r.,Yeni Yasamal q.,5370862,130000,vasit?çi (agent),Yoxdur,https://bina.az/items/5370862,40.39633363,49.78911859,14,16
134,Yeni tikili,40,var,var,2,Az?rbaycan turizm institutu,N?riman N?rimanov m.,5318005,149900,vasit?çi (agent),Yoxdur,https://bina.az/items/5318005,40.39799283,49.86443428,10,17
135,Köhn? tikili,65,var,var,2,?n?aatç?lar m.,Yasamal r.,5375922,145000,vasit?çi (agent),var,https://bina.az/items/5375922,40.394,49.795,2,9
136,Yeni tikili,60,var,var,2,Koro?lu m.,N?rimanov r.,5294265,139000,vasit?çi (agent),Yoxdur,https://bina.az/items/5294265,40.42484398,49.91669856,2,3
137,Yeni tikili,55,yoxdur,var,2,Neftçil?r m.,Nizami r.,5317979,149000,vasit?çi (agent),Yoxdur,https://bina.az/items/5317979,40.40237962,49.93816106,2,17
138,Yeni tikili,60,var,var,2,H?zi Aslanov m.,X?tai r.,5370863,143000,vasit?çi (agent),var,https://bina.az/items/5370863,40.36559464,49.94836137,3,9
139,Yeni tikili,70,yoxdur,var,2,['Suraxan? r.'],Yoxdur,5348462,140000,vasit?çi (agent),Yoxdur,https://bina.az/items/5348462,40.39322228,49.98749465,3,4
140,Köhn? tikili,60,var,var,2,?hm?dli m.,X?tai r.,5375886,150000,vasit?çi (agent),Yoxdur,https://bina.az/items/5375886,40.38543829,49.95395647,2,9
141,Köhn? tikili,20,var,var,1,28 May m.,Bak? Slavyan Universiteti,5364185,100000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5364185,40.38133093,49.84572677,1,1
142,Yeni tikili,48,var,var,2,Melissa Park,20 Yanvar m.,5359643,150000,mülkiyy?tçi,var,https://bina.az/items/5359643,40.39970471,49.80856585,14,20
143,Yeni tikili,45,var,var,2,Memar ?c?mi m.,Bin?q?di r.,5338663,138000,vasit?çi (agent),Yoxdur,https://bina.az/items/5338663,40.41855818,49.81103213,8,9
144,Yeni tikili,53,var,var,2,Neftçil?r m.,Nizami r.,5341348,138000,vasit?çi (agent),var,https://bina.az/items/5341348,40.40851291,49.95745182,9,18
145,Köhn? tikili,65,var,var,2,H?zi Aslanov m.,X?tai r.,5305327,133000,vasit?çi (agent),var,https://bina.az/items/5305327,40.36871694,49.95547305,9,9
146,Köhn? tikili,50,var,var,2,Neftçil?r m.,Xalqlar Dostlu?u m.,5253967,120000,vasit?çi (agent),var,https://bina.az/items/5253967,40.40506534,49.94685173,5,9
147,Yeni tikili,68,var,var,3,Sabunçu r.,Bak?xanov q.,5168441,115000,vasit?çi (agent),var,https://bina.az/items/5168441,40.43506618,49.95651589,12,14
148,Yeni tikili,50,var,var,2,Yasamal r.,Yeni Yasamal q.,5370187,134000,vasit?çi (agent),var,https://bina.az/items/5370187,40.39043788,49.78833256,16,20
149,Yeni tikili,105,var,var,2,X?tai r.,Köhn? Gün??li q.,5375827,148000,vasit?çi (agent),var,https://bina.az/items/5375827,40.3545471,49.9657982,4,5
150,Köhn? tikili,85,var,var,3,H?zi Aslanov m.,X?tai r.,5345342,138000,vasit?çi (agent),var,https://bina.az/items/5345342,40.37330999,49.96494055,9,9
151,Yeni tikili,75,yoxdur,yoxdur,2,H?zi Aslanov m.,X?tai r.,5362262,139000,vasit?çi (agent),Yoxdur,https://bina.az/items/5362262,40.36905506,49.95968491,6,10
